Conversation,Adequacy,Sense
1,3,3
2,3,3
3,3,3
4,3,3
5,2,3
6,3,3
7,3,1
8,2,3
9,2,3
10,3,3
11,3,3
12,2,3
13,1,2
14,1,1
15,3,1
