Conversation,Adequacy,Sense
1,3,3
2,3,3
3,3,3
4,3,3
5,2,1
6,1,1
7,3,1
8,2,1
9,2,1
10,1,2
11,3,3
12,1,2
13,2,1
14,1,1
15,2,1
